,overall_feature,absolute_value_weight
0,PageValues,1.4016850502469576
1,ExitRates,0.8045379988482166
2,ProductRelated,0.2773233812991149
3,TrafficType,0.13443157511237488
4,VisitorType,0.11125816678940319
5,Browser,0.09646391578546219
6,Weekend,0.08263810231367694
7,Month,0.08059126312836329
8,OperatingSystems,0.07398301104501957
9,SpecialDay,0.07366823668993826
10,BounceRates,0.06967208803198136
11,Region,0.06771001736504238
12,Administrative,0.057236849448236524
13,Informational,0.020574892245037172
