,Administrative_Duration,Informational_Duration,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,626.0,66.0,2660.15,0.0,0.008227848,41.92518987,0.0,May,1,1,3,2,Returning_Visitor,False,False
1,43.0,0.0,1505.166667,0.0,0.005263158,0.0,0.0,Mar,2,2,4,8,New_Visitor,False,False
2,0.0,0.0,258.2916667,0.0,0.022222222,0.0,0.0,Nov,2,5,3,2,Returning_Visitor,False,False
3,0.0,0.0,0.0,0.2,0.2,0.0,0.0,Mar,1,1,1,9,Returning_Visitor,True,False
4,348.6547619,11.0,1229.289286,0.0,0.002493853,54.95126905,0.0,Mar,2,2,1,2,New_Visitor,False,False
5,10.5,0.0,1747.125,0.027659574,0.048014184,0.0,0.2,May,2,4,1,4,Returning_Visitor,False,False
6,0.0,0.0,495.0,0.0,0.00952381,0.0,0.0,Mar,4,1,3,2,Returning_Visitor,False,False
7,369.3333333,225.5,3918.363736,0.0,0.009275362,7.147603773,0.0,Nov,2,2,2,2,Returning_Visitor,False,False
8,0.0,0.0,934.3666667,0.024,0.054,0.0,0.6,May,2,2,6,13,Returning_Visitor,False,False
9,0.0,154.8333333,5209.958128,0.008311643,0.021844997,0.0,0.0,Nov,1,2,3,2,Returning_Visitor,False,True
10,111.0,0.0,461.2222222,0.0,0.007142857,0.0,0.0,May,2,2,4,4,Returning_Visitor,False,False
11,323.5,0.0,320.75,0.0,0.015384615,0.0,0.0,Nov,2,2,6,2,New_Visitor,False,False
12,336.5,0.0,1239.949603,0.025,0.026035354,6.1287875,0.0,May,2,2,5,3,Returning_Visitor,True,True
13,0.0,0.0,1264.833333,0.073376623,0.075604396,0.0,0.0,Dec,3,2,1,13,Returning_Visitor,False,False
14,164.0666667,0.0,1553.52381,0.005128205,0.01025641,0.0,0.0,Sep,2,2,1,2,Returning_Visitor,False,False
15,112.8,0.0,543.7333333,0.0,0.011111111,28.69843548,0.0,Oct,1,1,6,2,New_Visitor,True,True
16,0.0,0.0,867.7777778,0.0,0.004487179,0.0,0.0,Dec,2,2,3,1,New_Visitor,False,False
17,200.42,0.0,697.5866667,0.0075,0.0325,0.0,0.0,June,2,2,2,2,Returning_Visitor,False,False
18,0.0,0.0,1699.583333,0.023076923,0.033799534,0.0,0.0,Nov,2,2,3,1,Returning_Visitor,True,False
19,0.0,0.0,72.25,0.114285714,0.142857143,0.0,0.0,Dec,1,1,4,3,Returning_Visitor,True,False
20,0.0,0.0,1726.5,0.0,0.05,0.0,0.0,Dec,2,4,7,1,Returning_Visitor,False,False
21,0.0,0.0,112.0,0.0,0.02,0.0,0.0,May,2,2,4,1,Returning_Visitor,True,False
22,0.0,0.0,5465.320175,0.033789954,0.06037786,0.0,0.0,Sep,2,5,2,1,Returning_Visitor,False,False
23,97.8,0.0,1228.289524,0.02345679,0.042026749,0.0,0.0,Aug,1,1,2,3,Returning_Visitor,False,False
